pair,n_signal,coverage,precision_signal,precision_baseline,precision_lift,practical_score
bull_marubozu+sakata_gap_down,1,4.981940465811433e-06,1.0,0.5696799103250716,0.4303200896749284,0.4303200896749284
morning_star+sakata_bullish,2256,0.011239257690870594,0.5784574468085106,0.5696799103250716,0.008777536483439041,0.416909883543244
bull_engulfing+morning_star,292,0.0014547266160169386,0.5924657534246576,0.5696799103250716,0.02278584309958598,0.3893646575661604
bull_engulfing+sakata_bullish,292,0.0014547266160169386,0.5924657534246576,0.5696799103250716,0.02278584309958598,0.3893646575661604
hammer_like+bear_harami,104,0.0005181218084443891,0.6057692307692307,0.5696799103250716,0.036089320444159134,0.36804029835414087
doji+bull_harami,224,0.001115954664341761,0.59375,0.5696799103250716,0.024070089674928408,0.3602481153300282
three_gaps_up+sakata_gap_up,9,4.48374641923029e-05,0.6666666666666666,0.5696799103250716,0.09698675634159504,0.2909602690247851
bear_engulfing+evening_star,247,0.001230539295055424,0.5870445344129555,0.5696799103250716,0.017364624087883862,0.2729064893314898
bear_engulfing+sakata_bearish,247,0.001230539295055424,0.5870445344129555,0.5696799103250716,0.017364624087883862,0.2729064893314898
bull_marubozu+three_white_soldiers,79,0.00039357329679910323,0.5949367088607594,0.5696799103250716,0.025256798535687852,0.2244873357441653
doji+bull_engulfing,3,1.49458213974343e-05,0.6666666666666666,0.5696799103250716,0.09698675634159504,0.1679859896449456
three_white_soldiers+sakata_bullish,217,0.001081081081081081,0.576036866359447,0.5696799103250716,0.006356956034375361,0.0936438099128124
bear_marubozu+bear_harami,94,0.00046830240378627474,0.574468085106383,0.5696799103250716,0.004788174781311438,0.0464230768823046
three_black_crows+sakata_bearish,308,0.0015344376634699216,0.5714285714285714,0.5696799103250716,0.0017486611034998045,0.030688877817657192
bull_marubozu+sakata_bullish,717,0.003572051313986798,0.5704323570432357,0.5696799103250716,0.0007524467181641015,0.020148157177658693
hammer_like+evening_star,63,0.0003138622493461203,0.5714285714285714,0.5696799103250716,0.0017486611034998045,0.013879567221576785
hammer_like+sakata_bearish,63,0.0003138622493461203,0.5714285714285714,0.5696799103250716,0.0017486611034998045,0.013879567221576785
doji+bear_engulfing,7,3.487358326068003e-05,0.5714285714285714,0.5696799103250716,0.0017486611034998045,0.004626522407192262
bull_marubozu+bull_harami,171,0.0008519118196537551,0.5672514619883041,0.5696799103250716,-0.0024284483367674747,-0.03175608266873656
bull_marubozu+morning_star,638,0.0031784780171876946,0.567398119122257,0.5696799103250716,-0.002281791202814576,-0.05763499247408981
shooting_star_like+morning_star,31,0.00015444015444015445,0.5483870967741935,0.5696799103250716,-0.021292813550878087,-0.11855336847296317
shooting_star_like+sakata_bullish,31,0.00015444015444015445,0.5483870967741935,0.5696799103250716,-0.021292813550878087,-0.11855336847296317
bull_harami+morning_star,17,8.469298791879437e-05,0.5294117647058824,0.5696799103250716,-0.04026814561918923,-0.16602981773567027
bull_harami+sakata_bullish,17,8.469298791879437e-05,0.5294117647058824,0.5696799103250716,-0.04026814561918923,-0.16602981773567027
hammer_like+bull_harami,105,0.0005231037489102005,0.5523809523809524,0.5696799103250716,-0.017298957944119175,-0.17726157035579485
hammer_like+bear_engulfing,19,9.465686885041724e-05,0.5263157894736842,0.5696799103250716,-0.04336412085138741,-0.1890198205666827
bear_marubozu+bear_engulfing,641,0.0031934238385851288,0.5616224648985959,0.5696799103250716,-0.008057445426475685,-0.2039982244511122
shooting_star_like+evening_star,43,0.00021422344002989163,0.5348837209302325,0.5696799103250716,-0.03479618939483908,-0.22817387283662652
shooting_star_like+sakata_bearish,43,0.00021422344002989163,0.5348837209302325,0.5696799103250716,-0.03479618939483908,-0.22817387283662652
hammer_like+bull_engulfing,12,5.97832855897372e-05,0.5,0.5696799103250716,-0.06967991032507159,-0.2413782898997344
bull_marubozu+bull_engulfing,708,0.003527213849794495,0.557909604519774,0.5696799103250716,-0.011770305805297587,-0.31318746768534217
doji+bear_harami,162,0.0008070743554614522,0.5432098765432098,0.5696799103250716,-0.026470033781861746,-0.3369085269370458
shooting_star_like+bear_harami,50,0.00024909702329057166,0.52,0.5696799103250716,-0.049679910325071575,-0.3512900147959769
doji+evening_star,76,0.00037862747540166896,0.5263157894736842,0.5696799103250716,-0.04336412085138741,-0.3780396411333654
doji+sakata_bearish,76,0.00037862747540166896,0.5263157894736842,0.5696799103250716,-0.04336412085138741,-0.3780396411333654
evening_star+sakata_bearish,1834,0.00913687881429817,0.5599781897491821,0.5696799103250716,-0.009701720575889472,-0.4154783782957382
shooting_star_like+bear_engulfing,19,9.465686885041724e-05,0.47368421052631576,0.5696799103250716,-0.09599569979875583,-0.41843555443724445
bear_marubozu+evening_star,489,0.002436168887781791,0.5480572597137015,0.5696799103250716,-0.021622650611370142,-0.4781491195397285
bear_marubozu+three_black_crows,109,0.0005430315107734462,0.5229357798165137,0.5696799103250716,-0.04674413050855786,-0.48802305000186086
bear_engulfing+bear_harami,80,0.0003985552372649147,0.5125,0.5696799103250716,-0.05717991032507164,-0.5114326657368091
bear_harami+evening_star,18,8.96749283846058e-05,0.4444444444444444,0.5696799103250716,-0.12523546588062717,-0.5313290830154878
bear_harami+sakata_bearish,18,8.96749283846058e-05,0.4444444444444444,0.5696799103250716,-0.12523546588062717,-0.5313290830154878
doji+three_gaps_up,1,4.981940465811433e-06,0.0,0.5696799103250716,-0.5696799103250716,-0.5696799103250716
doji+sakata_gap_up,1,4.981940465811433e-06,0.0,0.5696799103250716,-0.5696799103250716,-0.5696799103250716
bear_marubozu+three_gaps_up,1,4.981940465811433e-06,0.0,0.5696799103250716,-0.5696799103250716,-0.5696799103250716
bear_marubozu+sakata_gap_up,1,4.981940465811433e-06,0.0,0.5696799103250716,-0.5696799103250716,-0.5696799103250716
falling_three_methods+sakata_bearish,1,4.981940465811433e-06,0.0,0.5696799103250716,-0.5696799103250716,-0.5696799103250716
bear_marubozu+sakata_bearish,598,0.0029792003985552374,0.5434782608695652,0.5696799103250716,-0.026201649455506404,-0.6407361451058968
shooting_star_like+bull_harami,122,0.0006077967368289949,0.5081967213114754,0.5696799103250716,-0.06148318901359617,-0.6791040191431312
doji+shooting_star_like,163,0.0008120562959272636,0.5153374233128835,0.5696799103250716,-0.054342487012188134,-0.6937984295392886
bull_engulfing+bull_harami,75,0.0003736455349358575,0.48,0.5696799103250716,-0.08967991032507161,-0.776650805506224
doji+hammer_like,288,0.0014347988541536928,0.4861111111111111,0.5696799103250716,-0.08356879921396049,-1.4182095508754036
