timeframe,code,dt,entry_next_open,regime_loose,regime_stack,regime_strong,slope20_3,slope60_3,dist_close_ma20,dist_close_ma60,pb_depth_ma20,above20_streak,upclose_streak,ret_1m,dd_1m,ma60_break_1m,ret_3m,dd_3m,ma60_break_3m,ret_6m,dd_6m,ma60_break_6m
daily,1001,1999-02-18,14144.0,True,False,False,0.0033001432538068117,-0.0010612844829407228,-0.0025665613718411297,-0.0025079504615146547,0.009970103790613694,0,0,0.11121323529411764,-0.015766402714932126,1.0,0.1452912895927602,-0.015766402714932126,1.0,0.23267816742081449,-0.015766402714932126,1.0
daily,1001,1999-02-22,14284.0,True,False,False,0.0002574683455013322,-0.0014471185074945597,0.005349026632299402,0.00616975350393766,0.001914648293565275,1,1,0.12146457574908989,-0.025413049565947914,1.0,0.14743769252310276,-0.025413049565947914,1.0,0.25035004200504063,-0.025413049565947914,1.0
daily,1001,1999-02-23,14483.0,True,True,False,0.0008707976083032748,-0.0016958634095434512,0.02150442945455186,0.02419091860507553,-0.006287535884746121,2,2,0.07125595525788855,-0.03880411516950908,1.0,0.11951943658081889,-0.03880411516950908,1.0,0.23537941034316096,-0.03880411516950908,1.0
daily,1001,1999-02-24,14386.0,True,True,False,0.001294528061629438,-0.0022394955315892307,0.011385573576451053,0.014806776689488974,-0.009342370397508726,3,0,0.11121924092868066,-0.03232309189489782,1.0,0.12818017517030447,-0.03232309189489782,1.0,0.24280550535242598,-0.03232309189489782,1.0
daily,1001,1999-03-01,14260.0,True,True,False,-0.0008208040356785292,-0.002475454589370256,0.0027676415110970084,0.00782866700053864,-0.0027676415110970084,6,0,0.11213183730715287,-0.02377279102384292,1.0,0.12980364656381488,-0.02377279102384292,1.0,0.26893408134642355,-0.02377279102384292,1.0
daily,1001,1999-03-02,13956.0,True,True,False,-0.002807445189652283,-0.002686333426101101,-0.0164999947013504,-0.012365824069015862,0.0164999947013504,0,0,0.1347090856979077,-0.002077959300659215,0.0,0.17569504155918603,-0.002077959300659215,1.0,0.279378045285182,-0.002077959300659215,1.0
daily,1001,1999-03-03,14202.0,True,True,False,-0.0035257279518725293,-0.0028231050851298452,0.001724917995701818,0.006270549720559256,0.015453568600837035,1,1,0.149626813124912,-0.005703422053231939,0.0,0.15596394873961414,-0.005703422053231939,1.0,0.2439093085480918,-0.005703422053231939,1.0
daily,1001,1999-03-04,14256.0,True,True,False,-0.0024714862411196977,-0.002650502225287939,0.0025659694487053003,0.007806837614935323,0.0018166780945380002,2,2,0.14267676767676768,0.0,0.0,0.13825757575757575,0.0,1.0,0.23449775533108866,0.0,1.0
daily,1001,1999-03-05,14925.0,True,True,False,0.002299613905069472,-0.0012711092822902713,0.04982695547363447,0.05800912338112079,-0.004856524589239495,3,3,0.09440536013400334,-0.009782244556113902,0.0,0.09212730318257957,-0.009782244556113902,1.0,0.200536013400335,-0.009782244556113902,1.0
daily,1001,1999-03-31,15868.0,True,True,True,0.016982125283226193,0.007289398121818156,0.018244948480123455,0.09038579386227653,-0.00634956356797248,20,0,0.0676833879505924,-0.0034660952861104107,0.0,0.1206201159566423,-0.0034660952861104107,1.0,0.06320897403579531,-0.0034660952861104107,1.0
daily,1001,1999-04-01,16351.0,True,True,True,0.018569588802310303,0.007976794778825295,0.04258593495571546,0.12044926856606919,-0.009763666898678785,21,1,0.021405418628830043,-0.016329276496850346,0.0,0.07204452327074796,-0.028438627606874198,1.0,0.028744419301571768,-0.028438627606874198,1.0
daily,1001,1999-04-20,16724.0,True,True,True,0.0064163177090367654,0.008590456055238728,0.01756440995418254,0.0959999299078726,-0.008230076077871617,34,1,-0.01997129873236068,-0.04651997129873236,0.0,0.10810810810810811,-0.05010762975364745,1.0,0.05243960774934226,-0.05010762975364745,1.0
daily,1001,1999-04-21,16563.0,True,True,True,0.0059229164244674745,0.00797352801911615,0.0033393957457680586,0.08120095567808032,-0.0008454936405497203,35,0,-0.021071062005675302,-0.03725170560888728,0.0,0.1022761577008996,-0.04087423775886011,1.0,0.04298738151301093,-0.04087423775886011,1.0
daily,1001,1999-04-22,16715.0,True,True,True,0.007088231518330302,0.007791916833505572,0.011590956686425059,0.08962637333897087,-0.000603980199161756,36,1,-0.029015854023332337,-0.0460065809153455,0.0,0.06072390068800479,-0.049596171103798985,1.0,0.032246485192940474,-0.049596171103798985,1.0
daily,1001,1999-04-30,16762.0,True,True,True,0.007781513924019934,0.007897449125016439,0.0004312978471049568,0.07749545694039717,-0.0004312978471049568,41,0,-0.020582269418923757,-0.05226106669848467,1.0,0.06604223839637274,-0.05226106669848467,1.0,0.05422980551246868,-0.05226106669848467,1.0
daily,1001,1999-05-06,17281.0,True,True,True,0.007491064874426889,0.008612555003939808,0.03318741303010581,0.11238639030616349,-0.001057076139342984,42,1,-0.0609918407499566,-0.08072449511023667,1.0,0.03356287251895145,-0.08072449511023667,1.0,0.0058445691800243045,-0.08072449511023667,1.0
