code,origin_gidx,signal_gidx,lag_days,p60v_strong
1833,147905,147905,0,False
1833,148345,148351,6,False
1833,148882,148884,2,False
1833,148890,148891,1,False
1833,149032,149035,3,False
1833,149051,149052,1,False
1833,149384,149385,1,False
1833,149747,149751,4,False
1833,149874,149874,0,False
1833,150128,150138,10,False
1833,150583,150591,8,False
1833,150685,150688,3,False
1833,150841,150841,0,True
1833,150969,150975,6,False
1833,151032,151032,0,False
1833,151080,151085,5,False
1833,151090,151090,0,False
1833,151349,151349,0,False
1833,151427,151430,3,False
1833,151475,151482,7,False
1833,151517,151520,3,False
1833,151523,151524,1,False
1833,151829,151831,2,False
1833,151837,151839,2,False
1833,151915,151920,5,False
1833,151938,151938,0,False
1833,151977,151987,10,False
1833,152705,152706,1,False
1833,152711,152715,4,False
1833,152814,152815,1,False
1833,152824,152825,1,False
1833,152844,152844,0,True
1833,152967,152977,10,False
1833,153125,153125,0,False
1833,153136,153136,0,True
1833,153139,153139,0,False
1833,153141,153141,0,False
1833,153395,153400,5,False
1833,153647,153647,0,False
1833,153652,153652,0,False
1833,153789,153799,10,False
1833,153969,153970,1,False
1833,154404,154411,7,False
1860,154974,154977,3,False
1860,155000,155000,0,False
1860,155433,155436,3,False
1860,155501,155502,1,False
1860,155589,155590,1,False
1860,155620,155626,6,False
1860,156008,156010,2,False
1860,156119,156121,2,False
1860,156640,156643,3,False
1860,156693,156698,5,False
1860,157129,157130,1,False
1860,157152,157152,0,False
1860,157473,157480,7,False
1860,157927,157929,2,False
1860,158844,158852,8,False
1860,158858,158861,3,False
1860,158950,158952,2,False
1860,159162,159169,7,False
1860,159245,159252,7,False
1860,159294,159299,5,False
1860,159630,159637,7,False
1860,159937,159944,7,True
1860,160000,160006,6,False
1860,160160,160161,1,False
1860,160253,160263,10,False
1860,160268,160268,0,False
1860,160275,160275,0,False
1860,160405,160413,8,False
1860,160572,160576,4,False
1860,160788,160788,0,False
1860,161157,161159,2,True
1860,161162,161165,3,False
1860,161298,161299,1,False
1860,161719,161727,8,False
1860,161860,161868,8,False
1860,161884,161884,0,False
1860,162174,162177,3,False
1861,162743,162745,2,False
1861,162756,162762,6,False
1861,164435,164435,0,False
1861,164437,164437,0,False
1861,164509,164512,3,False
1861,164708,164715,7,False
1861,164723,164723,0,False
1861,165085,165094,9,False
1861,165185,165187,2,False
1861,166369,166369,0,False
1861,166640,166642,2,False
1861,166794,166794,0,False
1861,166984,166984,0,False
1861,166989,166992,3,False
1861,167650,167654,4,False
1861,168175,168178,3,False
1861,168187,168187,0,False
1861,168295,168299,4,False
1861,168535,168536,1,False
1861,168541,168547,6,False
1861,168979,168983,4,False
1861,168994,168994,0,False
1861,169022,169023,1,False
1861,169329,169330,1,False
1861,169334,169336,2,False
1861,169715,169722,7,False
1861,169737,169737,0,False
1861,169783,169783,0,False
1861,169883,169883,0,False
1878,170627,170630,3,False
1878,171027,171031,4,False
1878,171074,171079,5,False
1878,171159,171160,1,False
1878,171488,171489,1,False
1878,171541,171545,4,False
1878,171656,171656,0,False
1878,172068,172069,1,False
1878,172527,172529,2,False
1878,172774,172777,3,False
1878,173012,173013,1,False
1878,173243,173248,5,False
1878,173383,173390,7,False
1878,173590,173590,0,False
1878,173749,173749,0,False
1878,173771,173771,0,False
1878,173892,173897,5,False
1878,174023,174023,0,True
