cnt_60_above,n,rev5_drop3,rev10_drop5,down20_ge10,avg_ret20
52,112,0.44642857142857145,0.41964285714285715,0.25892857142857145,0.04718859066182982
53,116,0.4482758620689655,0.3879310344827586,0.27586206896551724,0.045066527506943
54,124,0.46774193548387094,0.4112903225806452,0.25,0.040273418920130165
55,121,0.47107438016528924,0.33884297520661155,0.2644628099173554,0.05247139605075112
56,110,0.4909090909090909,0.37272727272727274,0.24545454545454545,0.04997933883987832
57,109,0.45871559633027525,0.3486238532110092,0.1834862385321101,0.0630284143015557
58,105,0.41904761904761906,0.3333333333333333,0.18095238095238095,0.06657178271024572
59,92,0.34782608695652173,0.2608695652173913,0.16304347826086957,0.0730252834564644
60,88,0.4090909090909091,0.26136363636363635,0.13636363636363635,0.08709782294158924
61,95,0.37894736842105264,0.29473684210526313,0.11578947368421053,0.06356670413055253
62,89,0.4044943820224719,0.2247191011235955,0.11235955056179775,0.06636835508823175
63,82,0.3780487804878049,0.25609756097560976,0.08536585365853659,0.07948917355732543
64,91,0.4175824175824176,0.31868131868131866,0.14285714285714285,0.06287382303218352
65,95,0.3368421052631579,0.22105263157894736,0.09473684210526316,0.06666071599917452
66,90,0.34444444444444444,0.24444444444444444,0.1,0.06644282211933959
67,99,0.37373737373737376,0.2828282828282828,0.1111111111111111,0.05458060184864431
68,101,0.38613861386138615,0.26732673267326734,0.09900990099009901,0.04768515881330337
69,105,0.4380952380952381,0.2857142857142857,0.09523809523809523,0.03271735628428139
70,94,0.32978723404255317,0.2765957446808511,0.09574468085106383,0.04010112024072808
71,92,0.43478260869565216,0.34782608695652173,0.11956521739130435,0.04103117774192426
72,89,0.3595505617977528,0.2696629213483146,0.1348314606741573,0.047050658703724
73,82,0.34146341463414637,0.2682926829268293,0.0975609756097561,0.059238340235416485
74,86,0.32558139534883723,0.1744186046511628,0.11627906976744186,0.0589611910292603
75,87,0.3333333333333333,0.25287356321839083,0.08045977011494253,0.055482232470598025
76,95,0.4105263157894737,0.2736842105263158,0.08421052631578947,0.07933498124352233
77,91,0.4065934065934066,0.26373626373626374,0.13186813186813187,0.06879151535595393
78,85,0.4117647058823529,0.29411764705882354,0.15294117647058825,0.03677188027744939
79,84,0.36904761904761907,0.2619047619047619,0.10714285714285714,0.05474352928889543
80,78,0.46153846153846156,0.34615384615384615,0.14102564102564102,0.04253865672151216
81,73,0.3972602739726027,0.3013698630136986,0.136986301369863,0.0313598725402241
82,69,0.37681159420289856,0.2608695652173913,0.2028985507246377,0.0167626299072401
83,74,0.36486486486486486,0.2702702702702703,0.1891891891891892,0.012092760627476063
84,69,0.2898550724637681,0.2753623188405797,0.2028985507246377,0.013237837555231726
85,66,0.3787878787878788,0.3181818181818182,0.18181818181818182,0.013412064597742702
86,68,0.39705882352941174,0.27941176470588236,0.19117647058823528,0.000766409890499539
87,69,0.4057971014492754,0.3188405797101449,0.21739130434782608,0.01061273038769649
88,70,0.35714285714285715,0.2857142857142857,0.18571428571428572,-0.003147365345689054
89,62,0.3387096774193548,0.3548387096774194,0.25806451612903225,-0.011672720159570805
90,65,0.4153846153846154,0.2923076923076923,0.2153846153846154,-2.8518210887789735e-05
91,57,0.3508771929824561,0.3157894736842105,0.24561403508771928,-0.013651055050943979
92,51,0.37254901960784315,0.35294117647058826,0.21568627450980393,-0.0049509265170246675
93,61,0.47540983606557374,0.4098360655737705,0.26229508196721313,-0.012096999442902582
94,52,0.5192307692307693,0.4230769230769231,0.28846153846153844,-0.012392795594159357
95,49,0.4897959183673469,0.46938775510204084,0.32653061224489793,-0.0169510371381312
96,37,0.4594594594594595,0.43243243243243246,0.32432432432432434,-0.0384598578493607
97,35,0.42857142857142855,0.2571428571428571,0.22857142857142856,-0.009016843697204879
98,35,0.4857142857142857,0.4,0.2,0.017034754192839154
99,31,0.6129032258064516,0.4838709677419355,0.3225806451612903,0.004403444908253671
100,31,0.4838709677419355,0.3548387096774194,0.16129032258064516,0.01048412353327521
101,27,0.5555555555555556,0.2962962962962963,0.2222222222222222,0.04316353947530593
102,26,0.38461538461538464,0.38461538461538464,0.23076923076923078,0.008688506624222804
103,23,0.6521739130434783,0.391304347826087,0.17391304347826086,0.021172068488716687
104,28,0.5357142857142857,0.32142857142857145,0.17857142857142858,0.05239652617603813
105,21,0.42857142857142855,0.2857142857142857,0.09523809523809523,0.09730593191251263
106,27,0.4444444444444444,0.37037037037037035,0.1111111111111111,0.08196356933613363
107,29,0.6206896551724138,0.41379310344827586,0.20689655172413793,0.07517877961014946
108,24,0.5416666666666666,0.4583333333333333,0.20833333333333334,0.0833831939584011
109,21,0.42857142857142855,0.3333333333333333,0.14285714285714285,0.10646343645075851
110,21,0.38095238095238093,0.23809523809523808,0.09523809523809523,0.09159275096897332
111,24,0.5416666666666666,0.375,0.20833333333333334,0.06517175910947608
112,25,0.56,0.48,0.28,0.10088526113189916
113,24,0.5,0.4166666666666667,0.20833333333333334,0.08427985746316086
114,20,0.65,0.45,0.1,0.08023873660913425
115,20,0.4,0.4,0.2,0.08878962706374409
116,22,0.5909090909090909,0.5,0.13636363636363635,0.07256959463730488
117,25,0.52,0.44,0.12,0.09032024424498385
118,23,0.6521739130434783,0.391304347826087,0.34782608695652173,0.05764679607782787
119,24,0.5833333333333334,0.4166666666666667,0.2916666666666667,0.05971612803573084
120,19,0.3684210526315789,0.3684210526315789,0.21052631578947367,0.04011242927999997
121,21,0.38095238095238093,0.38095238095238093,0.23809523809523808,0.018940459036289787
122,22,0.5454545454545454,0.5,0.2727272727272727,0.010235987617959534
123,21,0.47619047619047616,0.23809523809523808,0.23809523809523808,0.03984714504563679
124,24,0.4583333333333333,0.4166666666666667,0.20833333333333334,0.08778313794737602
125,20,0.65,0.45,0.3,0.03275018560711869
126,21,0.6190476190476191,0.5238095238095238,0.42857142857142855,0.06329919427353824
127,27,0.5925925925925926,0.5185185185185185,0.2962962962962963,0.053960193279470735
128,24,0.5416666666666666,0.4583333333333333,0.3333333333333333,0.030629956134736635
129,23,0.6521739130434783,0.6086956521739131,0.34782608695652173,0.022394006252210826
130,22,0.6363636363636364,0.5909090909090909,0.36363636363636365,0.04190624953090392
131,19,0.631578947368421,0.47368421052631576,0.3684210526315789,0.05071923357167103
132,17,0.6470588235294118,0.5294117647058824,0.35294117647058826,0.039832425509037726
133,16,0.5,0.25,0.1875,0.04344768625369059
134,27,0.5185185185185185,0.37037037037037035,0.18518518518518517,0.06919723608410167
135,21,0.6666666666666666,0.3333333333333333,0.09523809523809523,0.056063634456940896
136,16,0.5625,0.4375,0.1875,0.031222420359831457
137,17,0.5882352941176471,0.4117647058823529,0.17647058823529413,0.036817901429620624
138,17,0.5882352941176471,0.5294117647058824,0.23529411764705882,0.012649541359891674
139,17,0.7058823529411765,0.5882352941176471,0.23529411764705882,0.03197019140945709
140,17,0.7058823529411765,0.47058823529411764,0.35294117647058826,0.043764290138578625
141,19,0.47368421052631576,0.5263157894736842,0.3157894736842105,0.030333779333783124
142,12,0.3333333333333333,0.3333333333333333,0.25,0.04860879880702451
143,16,0.375,0.3125,0.3125,0.019855611360279503
144,15,0.4666666666666667,0.4,0.26666666666666666,0.018190886212232363
145,16,0.625,0.375,0.25,0.02177791534231127
146,15,0.4666666666666667,0.4,0.2,0.008952301677289517
147,14,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.0033634085221400734
