direction,code,signal_month_text,signal_date_text,entry_month_text,entry_price,tp_price,exit_price,exit_rule,ret_net_assumed,p_abs_big,p_side_big,p_side20,abs_gate,side_gate,target20_gate,model_version
down,5233,2001-10,2001-10-31,2001-11,2570.0,2056.0,2056.0,tp20,0.2,0.4418827985451255,0.3942654866931271,0.0890917696931453,0.32,0.3,0.08,20260214053343_m1
down,5445,2001-10,2001-10-31,2001-11,1110.0,888.0,888.0,tp20,0.2,0.6840000368941633,0.5516590125238299,0.0985353812429874,0.32,0.3,0.08,20260214053343_m1
down,7003,2001-10,2001-10-31,2001-11,1570.0,1256.0,1430.0,month_close,0.0891719745222929,0.4241170898652667,0.3143127168808107,0.0842946035044063,0.32,0.3,0.08,20260214053343_m1
down,8020,2001-10,2001-10-31,2001-11,570.0,456.0,456.0,tp20,0.2,0.5961672335397046,0.3533585240918829,0.0866373519370706,0.32,0.3,0.08,20260214053343_m1
up,1861,2001-10,2001-10-31,2001-11,350.0,420.0,312.5,month_close,-0.1071428571428571,0.4034630119769273,0.3005779084394495,0.1460501888063014,0.15,0.3,0.14,20260214053343_m1
up,6146,2001-10,2001-10-31,2001-11,1506.66674804688,1808.000097656256,1808.000097656256,tp20,0.1999999999999999,0.4403897279710488,0.3066465660199691,0.1464143082611326,0.15,0.3,0.14,20260214053343_m1
up,6315,2001-10,2001-10-31,2001-11,277.0,332.4,332.4,tp20,0.1999999999999999,0.4296392371580297,0.3833389123355794,0.1510158490400692,0.15,0.3,0.14,20260214053343_m1
up,6324,2001-10,2001-10-31,2001-11,113.59260559082,136.311126708984,111.111122131348,month_close,-0.0218454664946302,0.4896012102587174,0.3774074502357055,0.1506599613140768,0.15,0.3,0.14,20260214053343_m1
up,6481,2001-10,2001-10-31,2001-11,1636.0,1963.2,1963.2,tp20,0.1999999999999999,0.4549513037178635,0.3522433993710007,0.1491501182621945,0.15,0.3,0.14,20260214053343_m1
up,6594,2001-10,2001-10-31,2001-11,298.75,358.5,358.5,tp20,0.1999999999999999,0.4261621113852754,0.3954220845650677,0.1517408393738385,0.15,0.3,0.14,20260214053343_m1
up,6754,2001-10,2001-10-31,2001-11,978.0,1173.6,1173.6,tp20,0.1999999999999999,0.4768953310577831,0.4445292813577467,0.1546872711813993,0.15,0.3,0.14,20260214053343_m1
up,6857,2001-10,2001-10-31,2001-11,787.5,945.0,945.0,tp20,0.1999999999999999,0.4472590302419415,0.4085561247465537,0.1525288817847277,0.15,0.3,0.14,20260214053343_m1
up,6976,2001-10,2001-10-31,2001-11,1656.0,1987.2,1987.2,tp20,0.1999999999999999,0.5201798309264233,0.4284627762304275,0.1537232808737601,0.15,0.3,0.14,20260214053343_m1
up,7282,2001-10,2001-10-31,2001-11,1597.0,1916.4,1916.4,tp20,0.1999999999999999,0.4946624390072527,0.3661465305307918,0.1499843061317819,0.15,0.3,0.14,20260214053343_m1
up,7552,2001-10,2001-10-31,2001-11,325.0,390.0,308.75,month_close,-0.05,0.3562007892750145,0.3241268055762039,0.1474631226345067,0.15,0.3,0.14,20260214053343_m1
up,7713,2001-10,2001-10-31,2001-11,735.0,882.0,640.0,month_close,-0.1292517006802721,0.3443320111469397,0.3070839634476783,0.1464405521067951,0.15,0.3,0.14,20260214053343_m1
up,7735,2001-10,2001-10-31,2001-11,900.0,1080.0,1080.0,tp20,0.1999999999999999,0.3345042333136421,0.3018201650828472,0.1461247242049053,0.15,0.3,0.14,20260214053343_m1
up,7956,2001-10,2001-10-31,2001-11,226.333343505859,271.6000122070308,261.666687011719,month_close,0.1561119672362605,0.4174758830334666,0.3216303624544955,0.1473133360472042,0.15,0.3,0.14,20260214053343_m1
up,8035,2001-10,2001-10-31,2001-11,1676.66674804688,2012.000097656256,2012.000097656256,tp20,0.1999999999999999,0.4930326583072046,0.3660779790072925,0.149980193040372,0.15,0.3,0.14,20260214053343_m1
down,1808,2001-11,2001-11-30,2001-12,675.0,540.0,540.0,tp20,0.2,0.5261797983871261,0.3341777570569612,0.0854865059149753,0.32,0.3,0.08,20260214053343_m1
down,1898,2001-11,2001-11-30,2001-12,475.0,380.0,380.0,tp20,0.2,0.6585243335823281,0.4053150414690076,0.0897547429796981,0.32,0.3,0.08,20260214053343_m1
down,4324,2001-11,2001-11-30,2001-12,2350.0,1880.0,2935.0,month_close,-0.2489361702127659,0.6953122088031595,0.3846888075443364,0.0885171689442178,0.32,0.3,0.08,20260214053343_m1
down,4784,2001-11,2001-11-30,2001-12,205.0,164.0,164.0,tp20,0.2,0.6708571352584577,0.3022262284547075,0.0835694141988401,0.32,0.3,0.08,20260214053343_m1
down,5202,2001-11,2001-11-30,2001-12,5290.0,4232.0,4232.0,tp20,0.2,0.4459692797831465,0.3594131397931472,0.0870006288791465,0.32,0.3,0.08,20260214053343_m1
down,5631,2001-11,2001-11-30,2001-12,615.0,492.0,492.0,tp20,0.2,0.5513659601778012,0.3314559695721856,0.0853231986658888,0.32,0.3,0.08,20260214053343_m1
