rule,n,hit10,lift,avg_ret20,win20
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.52 & pturndown>=0.58,1771,0.6047430830039525,3.3481056084596212,0.0007305888476260024,0.5798983625070582
cnt60>=60 & pdown>=0.60 & pturndown>=0.55,116,0.603448275862069,3.3409370253448216,-0.12394814179875435,0.47413793103448276
cnt60>=60 & pdown>=0.60 & pturndown>=0.58,116,0.603448275862069,3.3409370253448216,-0.12394814179875435,0.47413793103448276
cnt60>=40 & pdown>=0.52 & pturndown>=0.58,2564,0.5963338533541341,3.301548665941937,-0.01589221855569689,0.5643525741029641
cnt60>=60 & pdown>=0.58 & pturndown>=0.60,208,0.5961538461538461,3.300552072291203,-0.09855382563120332,0.5288461538461539
pdown>=0.55 & pturndown>=0.50,19066,0.5957201300744781,3.2981508422835804,0.013983135503836418,0.6031154935487255
pdown>=0.52 & pturndown>=0.58,19616,0.590742251223491,3.2705912643940165,0.006703398005244512,0.5813111745513866
cnt60>=60 & pdown>=0.58 & pturndown>=0.58,213,0.5868544600938967,3.249066858987251,-0.09501425103955258,0.5352112676056338
cnt60>=50 & pdown>=0.52 & pturndown>=0.60,1680,0.5815476190476191,3.219686011533838,-0.02632997108452217,0.5601190476190476
cnt60>=60 & pdown>=0.58 & pturndown>=0.55,217,0.5806451612903226,3.214689635446999,-0.09439760649646578,0.5299539170506913
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.52 & pturndown>=0.55,1956,0.5741308793456033,3.178623900216325,-0.0015020815886710435,0.5679959100204499
cnt60>=40 & pdown>=0.52 & pturndown>=0.55,2887,0.5673709733287149,3.1411982894340085,-0.014786946927947199,0.5559404225839972
cnt60>=50 & pdown>=0.55 & pturndown>=0.50,1383,0.5639913232104121,3.1224871609668363,-0.03066353208335131,0.5661605206073753
cnt60>=50 & pdown>=0.52 & pturndown>=0.58,1855,0.5504043126684636,3.047263900914434,-0.03204375669440215,0.5471698113207547
cnt60>=60 & pdown>=0.58 & pturndown>=0.50,237,0.5485232067510548,3.03684932743821,-0.08417875377466877,0.5358649789029536
pdown>=0.52 & pturndown>=0.55,23332,0.544273958511915,3.0133237473017136,0.004149872582384158,0.5696896965540889
cnt60>=60 & pdown>=0.55 & pturndown>=0.62,423,0.541371158392435,2.997252655902055,-0.07644845415298092,0.5271867612293144
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.52 & pturndown>=0.50,2236,0.5335420393559929,2.95390744354344,-0.002792596773449372,0.5585867620751341
cnt60>=60 & pdown>=0.55 & pturndown>=0.60,486,0.5185185185185185,2.8707310736296243,-0.07728831750686829,0.5246913580246914
cnt60>=50 & pdown>=0.52 & pturndown>=0.55,2089,0.517472474868358,2.8649397471800535,-0.030908990842985852,0.5342269028243178
cnt60>=40 & pdown>=0.52 & pturndown>=0.50,3412,0.5146541617819461,2.8493364106290353,-0.013187919115844925,0.548358733880422
pdown>=0.52 & pturndown>=0.50,27315,0.5070474098480688,2.8072223137046577,0.004498695521105106,0.5667215815485996
cnt60>=60 & pdown>=0.55 & pturndown>=0.58,540,0.48703703703703705,2.6964366870163974,-0.07732603350535572,0.5148148148148148
cnt60>=60 & pdown>=0.52 & pturndown>=0.62,869,0.4844649021864212,2.6821962940940276,-0.04893637500417164,0.5017261219792866
cnt60>=60 & pdown>=0.52 & pturndown>=0.60,1023,0.46236559139784944,2.559845450448536,-0.04801882787832721,0.501466275659824
cnt60>=60 & pdown>=0.55 & pturndown>=0.55,593,0.4620573355817875,2.558138819888215,-0.0724936283617143,0.5075885328836425
cnt60>=50 & pdown>=0.52 & pturndown>=0.50,2482,0.459709911361805,2.545142517132147,-0.02825867569508402,0.5221595487510072
cnt60>=60 & pdown>=0.52 & pturndown>=0.58,1164,0.4321305841924399,2.3924520563919938,-0.05381160155850397,0.49226804123711343
cnt60>=60 & pdown>=0.55 & pturndown>=0.50,733,0.4051841746248295,2.2432656869456205,-0.058287236203393496,0.5129604365620737
cnt60>=60 & pdown>=0.52 & pturndown>=0.55,1366,0.4011713030746706,2.221048785056679,-0.04980012388902083,0.48243045387994143
cnt60>=60 & pdown>=0.52 & pturndown>=0.50,1699,0.3507945850500294,1.9421426232593928,-0.04286678579070693,0.4779281930547381
