code,signal_dt,entry_dt,window,box_max_pct,box_low,box_high,box_pct,ma20_signal,ma60_signal,entry_price,hz3_box_break_hit,hz3_ma60_break_hit,hz3_ret_close,hz3_ret_best,hz3_ret_worst,hz3_ret_to_box_break,hz3_months_to_box_break,hz6_box_break_hit,hz6_ma60_break_hit,hz6_ret_close,hz6_ret_best,hz6_ret_worst,hz6_ret_to_box_break,hz6_months_to_box_break,hz12_box_break_hit,hz12_ma60_break_hit,hz12_ret_close,hz12_ret_best,hz12_ret_worst,hz12_ret_to_box_break,hz12_months_to_box_break
2264,2013-06-01,2013-07-01,6,0.2,665.0,805.0,0.19047619047619047,721.875,815.9166666666666,725.0,1,0,0.06896551724137931,0.1206896551724138,-0.04482758620689655,0.06896551724137931,3.0,1,0,0.07586206896551724,0.1206896551724138,-0.04482758620689655,0.06896551724137931,3.0,1,1,0.25862068965517243,0.4,-0.04482758620689655,0.06896551724137931,3.0
2264,2014-02-01,2014-03-01,6,0.2,720.0,812.5,0.12071778140293637,723.625,811.9166666666666,800.0,1,1,0.21875,0.246875,-0.00625,0.0375,1.0,1,1,0.134375,0.26875,-0.00625,0.0375,1.0,1,1,0.465625,0.609375,-0.00625,0.0375,1.0
2267,2011-01-01,2011-02-01,6,0.2,1153.5,1333.5,0.14475271411338964,1211.1,1323.5916666666667,1162.5,0,0,-0.035698924731182795,0.015053763440860216,-0.1870967741935484,,,0,0,-0.05290322580645161,0.022365591397849462,-0.1870967741935484,,,0,0,0.004731182795698925,0.07182795698924731,-0.1870967741935484,,
2269,2020-10-01,2020-11-01,6,0.2,3705.0,4495.0,0.1926829268292683,3923.5,4344.666666666667,3805.0,0,0,-0.06176084099868594,0.03153745072273324,-0.07752956636005257,,,0,0,-0.11038107752956636,0.03153745072273324,-0.11957950065703023,,,0,0,-0.05519053876478318,0.03153745072273324,-0.14060446780551905,,
2269,2023-12-01,2024-01-01,6,0.2,3232.0,3823.0,0.16754075124025514,3331.7,3599.4,3375.0,0,0,0.003259259259259259,0.08059259259259259,-0.023407407407407408,,,0,0,0.027851851851851853,0.12,-0.030518518518518518,,,1,1,-0.051555555555555556,0.1368888888888889,-0.0791111111111111,0.07437037037037036,8.0
2269,2024-04-01,2024-05-01,6,0.2,3247.0,3807.0,0.15877516302806918,3360.15,3538.9666666666667,3511.0,1,1,0.08202791227570493,0.08715465679293649,-0.039305041298775274,0.08202791227570493,3.0,1,1,0.011107946454001708,0.09285103958986043,-0.039305041298775274,0.08202791227570493,3.0,1,1,0.000854457419538593,0.09285103958986043,-0.1822842495015665,0.08202791227570493,3.0
2282,2021-01-01,2021-02-01,6,0.2,4210.0,4995.0,0.17055947854426942,4371.25,4883.95,4475.0,1,0,0.0893854748603352,0.13966480446927373,-0.00782122905027933,0.060335195530726256,2.0,1,0,-0.013407821229050279,0.13966480446927373,-0.05810055865921788,0.060335195530726256,2.0,1,0,-0.01452513966480447,0.13966480446927373,-0.15307262569832403,0.060335195530726256,2.0
2282,2021-06-01,2021-07-01,6,0.2,4235.0,5100.0,0.18532404927691484,4429.25,4851.716666666666,4335.0,0,0,-0.02422145328719723,0.0657439446366782,-0.05651672433679354,,,0,0,-0.04498269896193772,0.0657439446366782,-0.12572087658592848,,,0,0,-0.020761245674740483,0.0657439446366782,-0.12572087658592848,,
2282,2021-07-01,2021-08-01,6,0.2,4215.0,5100.0,0.19001610305958133,4420.5,4841.866666666667,4530.0,0,0,-0.11589403973509933,0.019867549668874173,-0.13796909492273732,,,0,0,-0.026490066225165563,0.019867549668874173,-0.16335540838852097,,,0,0,-0.11147902869757174,0.019867549668874173,-0.16335540838852097,,
2296,2021-11-01,2021-12-01,6,0.2,3195.0,3890.0,0.1961891319689485,3469.0,4002.75,3195.0,0,0,0.081377151799687,0.08763693270735524,-0.012519561815336464,,,0,0,0.003129890453834116,0.10641627543035993,-0.017214397496087636,,,0,0,0.07042253521126761,0.10641627543035993,-0.017214397496087636,,
