cnt_60_above,n,rev5_drop3,rev10_drop5,down20_ge10,avg_ret5,avg_ret20
125,98,0.3469387755102041,0.24489795918367346,0.12244897959183673,0.017239868104787698,0.06255495317571605
126,94,0.4148936170212766,0.2765957446808511,0.1595744680851064,0.00990238942246553,0.0586644113193404
127,91,0.4725274725274725,0.31868131868131866,0.15384615384615385,0.007880486365665218,0.05141235298144212
128,87,0.367816091954023,0.28735632183908044,0.1724137931034483,0.007378124881058423,0.05516068109533679
129,84,0.34523809523809523,0.2976190476190476,0.17857142857142858,0.005785824749925705,0.05512049602013499
130,83,0.3614457831325301,0.30120481927710846,0.1566265060240964,0.0067333780653751635,0.05536559058834274
131,82,0.3780487804878049,0.2682926829268293,0.14634146341463414,0.01096413626821353,0.057091716010523964
132,81,0.32098765432098764,0.2962962962962963,0.13580246913580246,0.0112300494045275,0.056570168833940615
133,75,0.3333333333333333,0.22666666666666666,0.09333333333333334,0.016199840682466674,0.05980920972674222
134,74,0.3918918918918919,0.2702702702702703,0.0945945945945946,0.014130920741766723,0.05828685510331652
135,70,0.4142857142857143,0.2857142857142857,0.08571428571428572,0.01372631595922318,0.05170872885448593
136,65,0.38461538461538464,0.2923076923076923,0.07692307692307693,0.014308742275415471,0.04994152125034597
137,64,0.40625,0.3125,0.125,0.009711247071780178,0.04986563127316379
138,63,0.42857142857142855,0.31746031746031744,0.1111111111111111,0.01109324029410868,0.04396766517653745
139,63,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.016480976788878884,0.04905403401202433
140,62,0.3870967741935484,0.25806451612903225,0.14516129032258066,0.013742346285419418,0.04861670019457283
141,61,0.32786885245901637,0.3114754098360656,0.11475409836065574,0.015830113370603225,0.04372086797676895
142,61,0.21311475409836064,0.16393442622950818,0.11475409836065574,0.01971311822874531,0.050846754115012195
143,60,0.21666666666666667,0.21666666666666667,0.11666666666666667,0.012489094094932375,0.04441020391354537
144,60,0.2833333333333333,0.31666666666666665,0.15,0.007953077981529945,0.03828882030945315
145,59,0.3050847457627119,0.2711864406779661,0.13559322033898305,0.00546797061562859,0.043161535026089784
146,58,0.3448275862068966,0.29310344827586204,0.1206896551724138,0.0024645866667548817,0.042230734670965026
147,57,0.43859649122807015,0.2982456140350877,0.15789473684210525,0.006405242118014284,0.043996836229778895
148,56,0.30357142857142855,0.26785714285714285,0.10714285714285714,0.006537007707310368,0.049066979677963536
149,53,0.41509433962264153,0.24528301886792453,0.1320754716981132,0.006202895690704741,0.049199830278217505
150,53,0.4528301886792453,0.22641509433962265,0.1509433962264151,0.008903634063684716,0.05424574757779361
151,52,0.34615384615384615,0.2692307692307692,0.15384615384615385,0.012632311065365736,0.059500245472278376
152,50,0.36,0.24,0.16,0.011347226315508692,0.06041279264612458
153,49,0.30612244897959184,0.1836734693877551,0.12244897959183673,0.01165811516868715,0.060090258607773964
154,48,0.2708333333333333,0.16666666666666666,0.14583333333333334,0.013282093029708767,0.06762565243405648
155,47,0.2553191489361702,0.14893617021276595,0.10638297872340426,0.016985375372589828,0.07531266503592793
156,46,0.32608695652173914,0.17391304347826086,0.13043478260869565,0.008792313131410514,0.07146255228471973
157,44,0.3409090909090909,0.25,0.18181818181818182,0.012238608193101531,0.0744830229290522
158,40,0.25,0.225,0.1,0.010343967740596515,0.0692290130314388
159,38,0.34210526315789475,0.21052631578947367,0.10526315789473684,0.004697691747055515,0.06558222158331933
160,37,0.2702702702702703,0.21621621621621623,0.10810810810810811,0.005520835818675183,0.07220575452462606
161,37,0.2702702702702703,0.16216216216216217,0.08108108108108109,0.016180552443693146,0.08341035740182492
162,34,0.20588235294117646,0.14705882352941177,0.058823529411764705,0.016941542827287107,0.07798068729067015
163,34,0.23529411764705882,0.08823529411764706,0.058823529411764705,0.020535426578790855,0.08069398704839831
164,34,0.14705882352941177,0.058823529411764705,0.058823529411764705,0.02127230891453292,0.08207551214003264
165,33,0.12121212121212122,0.030303030303030304,0.030303030303030304,0.026559654151858045,0.09367225907615005
166,33,0.12121212121212122,0.030303030303030304,0.030303030303030304,0.024316002336867704,0.09124737946819644
167,32,0.15625,0.09375,0.03125,0.024226766338049908,0.08423011150154092
168,31,0.25806451612903225,0.0967741935483871,0.03225806451612903,0.025904937289846625,0.08490660379009456
169,27,0.1111111111111111,0.14814814814814814,0.07407407407407407,0.03765145174500571,0.09258973902020887
170,24,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.03203143799275283,0.06934234681528928
