signal,slope_combo,n,win_rate_6m,avg_ret_6m,med_ret_6m,ci95_low,ci95_high,ma60_break_rate_6m
between_not_box_bottom,down_down,5024,0.5001990445859873,0.05003280854842287,0.0008751485273862383,0.040757114659306794,0.05930850243753894,0.3339968152866242
between_not_box_bottom,down_flat,1232,0.45616883116883117,0.014106274770034025,-0.01561807218231799,0.0021589380919286062,0.026053611448139443,0.32061688311688313
between_not_box_bottom,down_na,279,0.32974910394265233,0.021576677003842592,-0.13073394495412843,-0.10293171336036722,0.1460850673680524,0.25089605734767023
between_not_box_bottom,down_up,1058,0.45935727788279773,0.024072883885828063,-0.01469468652537236,0.008727731895152292,0.03941803587650383,0.43950850661625707
between_not_box_bottom,flat_down,1410,0.5269503546099291,0.048335069723740486,0.008636368199024642,0.034086391362633604,0.06258374808484737,0.4460992907801418
between_not_box_bottom,flat_flat,317,0.5488958990536278,0.04994329043844163,0.018633540372670808,0.021826686027293755,0.0780598948495895,0.5141955835962145
between_not_box_bottom,flat_na,54,0.25925925925925924,-0.08296044564859081,-0.08478202277474564,-0.1604729819278201,-0.0054479093693615005,0.2962962962962963
between_not_box_bottom,flat_up,190,0.45789473684210524,0.04466052225007859,-0.020842280566133173,-0.016775008322210322,0.1060960528223675,0.4421052631578947
between_not_box_bottom,up_down,5611,0.5441097843521654,0.06427556072273463,0.020666666666666667,0.056530998250044574,0.0720201231954247,0.475494564248797
between_not_box_bottom,up_flat,987,0.5521783181357649,0.04892976989966037,0.023312883435582823,0.03639676226332464,0.061462777535996105,0.5146909827760892
between_not_box_bottom,up_na,171,0.30994152046783624,-0.07000647777733396,-0.12411575562700965,-0.10851516538311126,-0.031497790171556656,0.30994152046783624
between_not_box_bottom,up_up,728,0.5013736263736264,0.042302068219468705,0.0010715210225305943,0.02448886409292151,0.0601152723460159,0.49862637362637363
