direction,code,signal_month,signal_dt,entry_month,entry_price,tp_price,next_high,next_low,next_close,exit_price,exit_rule,ret_net_assumed,win,p_abs_big,p_side_big,p_side20,abs_gate,side_gate,target20_gate,model_version
up,4800,201907,1564531200,201908,1246.0,1495.2,1857.0,1230.0,1779.0,1495.2,tp20,0.19999999999999996,1,0.5658984924042872,0.37402524488295263,0.15045702899291163,0.15,0.3,0.14,20260214053343_m1
up,7803,201907,1564531200,201908,289.125,346.95,406.25,256.25,363.5,346.95,tp20,0.19999999999999996,1,0.44855303317903306,0.30819896779107103,0.14650745236739876,0.15,0.3,0.14,20260214053343_m1
up,8848,201907,1564531200,201908,228.0,273.59999999999997,293.0,215.0,291.0,273.59999999999997,tp20,0.19999999999999996,1,0.6054441914154253,0.4579513977535399,0.15549259816514688,0.15,0.3,0.14,20260214053343_m1
down,2160,201908,1567123200,201909,1810.0,1448.0,2148.0,1693.0,1906.0,1906.0,month_close,-0.05303867403314917,0,0.5718937073157128,0.37414245942661584,0.08788438805715464,0.32,0.3,0.08,20260214053343_m1
down,3182,201908,1567123200,201909,1380.0,1104.0,1520.0,1344.0,1408.0,1408.0,month_close,-0.020289855072463767,0,0.45821664951472063,0.30165641046249364,0.0835352251193073,0.32,0.3,0.08,20260214053343_m1
down,3655,201908,1567123200,201909,2260.0,1808.0,2463.33349609375,2026.66674804688,2036.66674804688,2036.66674804688,month_close,0.09882002298810619,1,0.4353522908622965,0.3356844503565156,0.08557690751294862,0.32,0.3,0.08,20260214053343_m1
down,3692,201908,1567123200,201909,2935.0,2348.0,3515.0,2893.0,3160.0,3160.0,month_close,-0.07666098807495741,0,0.600366143383242,0.3617393069474232,0.08714019890840308,0.32,0.3,0.08,20260214053343_m1
down,3989,201908,1567123200,201909,431.0,344.8,475.0,399.0,410.0,410.0,month_close,0.048723897911832945,1,0.6808689220528988,0.32361017095885974,0.08485245074908927,0.32,0.3,0.08,20260214053343_m1
down,3993,201908,1567123200,201909,4750.0,3800.0,5010.0,4180.0,4680.0,4680.0,month_close,0.014736842105263158,1,0.5356485517260791,0.40148212628296276,0.08952476806853546,0.32,0.3,0.08,20260214053343_m1
down,4800,201908,1567123200,201909,1779.0,1423.2,1838.0,1309.0,1318.0,1423.2,tp20,0.19999999999999998,1,0.5753710200477203,0.4399289365270849,0.09183157668318279,0.32,0.3,0.08,20260214053343_m1
down,6027,201908,1567123200,201909,3825.0,3060.0,4445.0,3715.0,4050.0,4050.0,month_close,-0.058823529411764705,0,0.5260671025604484,0.3239012687745491,0.08486991661803063,0.32,0.3,0.08,20260214053343_m1
down,7717,201908,1567123200,201909,5290.0,4232.0,5730.0,5030.0,5250.0,5250.0,month_close,0.007561436672967864,1,0.44645815369444247,0.3237909111082899,0.08486329515805507,0.32,0.3,0.08,20260214053343_m1
