code,dt,o,h,l,c,body_ratio,upper_ratio,lower_ratio,pre_bull_streak,short_ret_1m,short_ret_3m,drop10_intram_1m,stop10_hit_1m
9064,1997-11-01,1540.0,1570.0,1390.0,1570.0,0.16666666666666666,0.0,0.8333333333333334,2,-0.11464968152866242,-0.012738853503184714,0.0,1.0
2809,1997-12-01,890.0,900.0,610.0,795.0,0.3275862068965517,0.034482758620689655,0.6379310344827587,2,-0.07577639751552795,-0.18012422360248448,0.0,1.0
9042,1997-12-01,3045.0,3055.0,3010.0,3055.0,0.2222222222222222,0.0,0.7777777777777778,0,0.0,0.00819672131147541,0.0,0.0
4114,1998-03-01,950.0,955.0,875.0,930.0,0.25,0.0625,0.6875,2,0.11171662125340599,-0.014986376021798364,1.0,0.0
8153,1998-03-01,1760.0,1770.0,1660.0,1730.0,0.2727272727272727,0.09090909090909091,0.6363636363636364,2,0.02601156069364162,0.046242774566473986,0.0,0.0
8338,1998-03-01,1700.0,1700.0,1550.0,1700.0,0.0,0.0,1.0,3,0.011904761904761904,0.07857142857142857,0.0,0.0
4519,1998-04-01,286.0,288.0,256.666687011719,286.666687011719,0.02127725887040177,0.04255256980899834,0.9361701713205999,3,0.0697674369089925,-0.1569767330452331,0.0,0.0
2579,1998-05-01,2509.09106445313,2545.45458984375,2372.72729492188,2545.45458984375,0.2105256462626151,0.0,0.789474353737385,3,-0.12500002397809865,-0.09642858718560639,0.0,1.0
4046,1998-05-01,299.0,301.0,264.0,288.0,0.2972972972972973,0.05405405405405406,0.6486486486486487,4,-0.2446043165467626,0.06474820143884892,0.0,1.0
4912,1998-05-01,455.0,461.0,431.0,460.0,0.16666666666666666,0.03333333333333333,0.8,2,-0.021739130434782608,-0.02391304347826087,0.0,0.0
4530,1998-06-01,620.0,625.0,540.0,610.0,0.11764705882352941,0.058823529411764705,0.8235294117647058,2,-0.09836065573770492,-0.13114754098360656,0.0,0.0
4902,1998-06-01,619.0,630.0,570.0,625.0,0.1,0.08333333333333333,0.8166666666666667,1,0.01288244766505636,0.1610305958132045,0.0,0.0
5713,1998-06-01,1172.0,1178.0,1030.0,1126.0,0.3108108108108108,0.04054054054054054,0.6486486486486487,2,-0.028021015761821366,0.24518388791593695,0.0,0.0
6201,1998-06-01,2415.0,2455.0,2250.0,2450.0,0.17073170731707318,0.024390243902439025,0.8048780487804879,2,0.01639344262295082,0.13934426229508196,0.0,0.0
6645,1998-06-01,2095.0,2120.0,1900.0,2120.0,0.11363636363636363,0.0,0.8863636363636364,0,0.009302325581395349,0.3697674418604651,0.0,0.0
6952,1998-06-01,1297.0,1299.0,1200.0,1289.0,0.08080808080808081,0.020202020202020204,0.898989898989899,3,0.01103230890464933,0.3136327817178881,0.0,0.0
7912,1998-06-01,2290.0,2295.0,2065.0,2215.0,0.32608695652173914,0.021739130434782608,0.6521739130434783,3,-0.03837471783295711,0.20902934537246048,0.0,0.0
9021,1998-06-01,2595.0,2600.0,2285.0,2515.0,0.25396825396825395,0.015873015873015872,0.7301587301587301,6,-0.028846153846153848,0.025,0.0,0.0
9022,1998-06-01,1016.0,1026.0,986.0,1026.0,0.25,0.0,0.75,5,-0.14202334630350194,-0.122568093385214,0.0,1.0
2503,1998-07-01,1296.0,1300.0,1220.0,1290.0,0.075,0.05,0.875,6,0.078125,0.0078125,1.0,0.0
6306,1998-07-01,340.0,343.0,273.0,321.0,0.2714285714285714,0.04285714285714286,0.6857142857142857,2,0.2523364485981308,0.34890965732087226,1.0,0.0
8550,1998-07-01,600.0,600.0,561.0,590.0,0.2564102564102564,0.0,0.7435897435897436,2,0.0423728813559322,0.0,0.0,0.0
9735,1998-08-01,2085.0,2097.5,1907.5,2035.0,0.2631578947368421,0.06578947368421052,0.6710526315789473,3,-0.0625,-0.13875,0.0,0.0
9757,1998-08-01,104.537040710449,105.462966918945,83.6111145019531,97.1296310424805,0.3389831455299661,0.04237289319124259,0.6186439612787913,4,0.09437556824987915,0.06387028487606072,0.0,0.0
6703,1998-12-01,3270.0,3340.0,2810.0,3330.0,0.11320754716981132,0.018867924528301886,0.8679245283018868,2,-0.12779552715654952,-0.4952076677316294,0.0,1.0
4204,1999-01-01,766.0,767.0,680.0,748.0,0.20689655172413793,0.011494252873563218,0.7816091954022989,3,0.006622516556291391,-0.05695364238410596,0.0,0.0
4676,1999-01-01,2500.0,2590.0,2300.0,2565.0,0.22413793103448276,0.08620689655172414,0.6896551724137931,2,0.021442495126705652,-0.26705653021442494,0.0,0.0
3861,1999-02-01,604.0,605.0,535.0,586.0,0.2571428571428571,0.014285714285714285,0.7285714285714285,4,-0.06228956228956229,-0.09427609427609428,0.0,1.0
5202,1999-02-01,3600.0,3640.0,3160.0,3540.0,0.125,0.08333333333333333,0.7916666666666666,5,-0.12637362637362637,-0.12637362637362637,0.0,1.0
5334,1999-02-01,1340.0,1345.0,1242.0,1305.0,0.33980582524271846,0.04854368932038835,0.6116504854368932,3,-0.05076923076923077,0.0007692307692307692,0.0,0.0
4684,1999-04-01,361.666687011719,391.666687011719,290.0,391.666687011719,0.29508190816271945,0.0,0.7049180918372806,4,0.22702245636005974,-0.49936471481112166,1.0,0.0
2002,1999-05-01,722.764892578125,724.267517089844,676.183410644531,706.235961914063,0.34375039666923496,0.031249920666154903,0.6249996826646101,2,0.003164588690449193,0.003164588690449193,0.0,0.0
4042,1999-05-01,486.0,506.0,420.0,500.0,0.16279069767441862,0.06976744186046512,0.7674418604651163,2,-0.357429718875502,-0.3855421686746988,0.0,1.0
4631,1999-05-01,4440.0,4540.0,4010.0,4500.0,0.11320754716981132,0.07547169811320754,0.8113207547169812,3,0.05504587155963303,0.02522935779816514,0.0,0.0
6645,1999-05-01,1644.0,1685.0,1500.0,1670.0,0.14054054054054055,0.08108108108108109,0.7783783783783784,3,-0.2605042016806723,-0.3415366146458583,0.0,1.0
7269,1999-05-01,425.0,435.0,387.5,435.0,0.21052631578947367,0.0,0.7894736842105263,3,-0.10632183908045977,-0.06321839080459771,0.0,1.0
8570,1999-05-01,757.575805664063,757.575805664063,681.060607910156,750.0,0.09901046963805471,0.0,0.9009895303619453,8,-0.18556701887197327,-0.20103095095432968,0.0,1.0
9005,1999-05-01,674.0,678.0,610.0,668.0,0.08823529411764706,0.058823529411764705,0.8529411764705882,2,0.0701219512195122,0.12195121951219512,0.0,0.0
5210,1999-07-01,2980.0,2980.0,2520.0,2870.0,0.2391304347826087,0.0,0.7608695652173914,5,0.08865248226950355,0.25886524822695034,0.0,0.0
8381,1999-10-01,830.0,830.0,777.0,820.0,0.18867924528301888,0.0,0.8113207547169812,3,0.08926417370325694,0.23401688781664656,1.0,0.0
4403,1999-11-01,186.66667175293,186.66667175293,150.0,180.0,0.18181829531329832,0.0,0.8181817046867017,2,0.10370364718967219,0.08148142496744996,1.0,0.0
8604,1999-12-01,1800.0,1857.0,1682.0,1845.0,0.2571428571428571,0.06857142857142857,0.6742857142857143,2,-0.2708333333333333,-0.7447916666666666,0.0,1.0
6981,2000-01-01,2688.88916015625,2722.22241210938,1788.88903808594,2404.44458007813,0.3047620367971288,0.0357141969641952,0.659523766238676,7,0.024253752184326745,0.020522397811017345,1.0,0.0
8570,2000-01-01,2521.21215820313,2772.72729492188,2060.60620117188,2727.27270507813,0.28936166711463884,0.0638298601778358,0.6468084727075254,4,0.31666662041558064,0.18444443509476233,1.0,0.0
9984,2000-01-01,1430.54174804688,1458.33337402344,1062.5,1458.33337402344,0.07021041630237643,0.0,0.9297895836976235,7,-0.4544810970994927,0.27453223758897727,0.0,1.0
4063,2000-02-01,1140.0,1200.0,1030.0,1190.0,0.29411764705882354,0.058823529411764705,0.6470588235294118,2,-0.022988505747126436,0.1330049261083744,1.0,0.0
7735,2000-02-01,1717.5,1725.0,1462.5,1630.0,0.3333333333333333,0.02857142857142857,0.638095238095238,3,-0.07564296520423601,-0.2708018154311649,0.0,1.0
2264,2000-03-01,747.5,750.0,672.5,737.5,0.12903225806451613,0.03225806451612903,0.8387096774193549,2,0.06206896551724138,-0.02413793103448276,0.0,1.0
5285,2000-03-01,300.0,300.0,252.0,295.0,0.10416666666666667,0.0,0.8958333333333334,3,-0.06779661016949153,0.01694915254237288,1.0,0.0
6503,2000-03-01,1000.0,1006.0,828.0,968.0,0.1797752808988764,0.033707865168539325,0.7865168539325843,4,0.04648760330578512,-0.1859504132231405,1.0,0.0
6845,2000-03-01,114.875,115.125,93.25,111.875,0.13714285714285715,0.011428571428571429,0.8514285714285714,3,0.022321428571428572,-0.42745535714285715,0.0,0.0
6997,2000-04-01,4700.0,4770.0,3900.0,4490.0,0.2413793103448276,0.08045977011494253,0.6781609195402298,0,-0.1378504672897196,-0.26635514018691586,0.0,1.0
