pattern,metric,day,count,share,cum_share
60v_core,days_to_high_break_60d,30,44,0.0026220129908825457,0.9454740480305105
60v_core,days_to_high_break_60d,31,53,0.003158333829926703,0.9486323818604372
60v_core,days_to_high_break_60d,32,41,0.0024432393778678267,0.951075621238305
60v_core,days_to_high_break_60d,33,48,0.0028603778082355045,0.9539359990465406
60v_core,days_to_high_break_60d,34,44,0.0026220129908825457,0.9565580120374231
60v_core,days_to_high_break_60d,35,40,0.002383648173529587,0.9589416602109526
60v_core,days_to_high_break_60d,36,53,0.003158333829926703,0.9620999940408793
60v_core,days_to_high_break_60d,37,31,0.00184732733448543,0.9639473213753648
60v_core,days_to_high_break_60d,38,33,0.001966509743161909,0.9659138311185267
60v_core,days_to_high_break_60d,39,32,0.0019069185388236696,0.9678207496573503
60v_core,days_to_high_break_60d,40,31,0.00184732733448543,0.9696680769918358
60v_core,days_to_high_break_60d,41,35,0.0020856921518383888,0.9717537691436742
60v_core,days_to_high_break_60d,42,34,0.002026100947500149,0.9737798700911743
60v_core,days_to_high_break_60d,43,27,0.0016089625171324712,0.9753888326083068
60v_core,days_to_high_break_60d,44,21,0.0012514152911030333,0.9766402478994098
60v_core,days_to_high_break_60d,45,32,0.0019069185388236696,0.9785471664382335
60v_core,days_to_high_break_60d,46,33,0.001966509743161909,0.9805136761813954
60v_core,days_to_high_break_60d,47,37,0.002204874560514868,0.9827185507419103
60v_core,days_to_high_break_60d,48,34,0.002026100947500149,0.9847446516894104
60v_core,days_to_high_break_60d,49,17,0.0010130504737500745,0.9857577021631605
60v_core,days_to_high_break_60d,50,24,0.0014301889041177522,0.9871878910672782
60v_core,days_to_high_break_60d,51,33,0.001966509743161909,0.9891544008104401
60v_core,days_to_high_break_60d,52,19,0.0011322328824265539,0.9902866336928667
60v_core,days_to_high_break_60d,53,19,0.0011322328824265539,0.9914188665752933
60v_core,days_to_high_break_60d,54,24,0.0014301889041177522,0.992849055479411
60v_core,days_to_high_break_60d,55,14,0.0008342768607353555,0.9936833323401464
60v_core,days_to_high_break_60d,56,18,0.001072641678088314,0.9947559740182347
60v_core,days_to_high_break_60d,57,31,0.00184732733448543,0.9966033013527201
60v_core,days_to_high_break_60d,58,14,0.0008342768607353555,0.9974375782134555
60v_core,days_to_high_break_60d,59,25,0.0014897801084559918,0.9989273583219115
60v_core,days_to_high_break_60d,60,18,0.001072641678088314,0.9999999999999998
60v_core,days_to_plus5_60d,1,400,0.030819015332460127,0.030819015332460127
60v_core,days_to_plus5_60d,2,793,0.0610986978966022,0.09191771322906234
60v_core,days_to_plus5_60d,3,824,0.06348717158486786,0.1554048848139302
60v_core,days_to_plus5_60d,4,812,0.06256260112489406,0.21796748593882426
60v_core,days_to_plus5_60d,5,740,0.05701517836505124,0.2749826643038755
60v_core,days_to_plus5_60d,6,626,0.0482317589953001,0.3232144232991756
60v_core,days_to_plus5_60d,7,569,0.04384004931042453,0.3670544726096001
60v_core,days_to_plus5_60d,8,515,0.039679482240542414,0.4067339548501425
60v_core,days_to_plus5_60d,9,452,0.034825487325679944,0.44155944217582244
60v_core,days_to_plus5_60d,10,418,0.03220587102242083,0.4737653131982433
60v_core,days_to_plus5_60d,11,392,0.030202635025810925,0.5039679482240542
60v_core,days_to_plus5_60d,12,384,0.029586254719161723,0.533554202943216
60v_core,days_to_plus5_60d,13,353,0.027197781030896064,0.5607519839741121
60v_core,days_to_plus5_60d,14,314,0.0241929270359812,0.5849449110100933
60v_core,days_to_plus5_60d,15,280,0.02157331073272209,0.6065182217428153
60v_core,days_to_plus5_60d,16,277,0.021342168117728638,0.6278603898605439
60v_core,days_to_plus5_60d,17,274,0.02111102550273519,0.6489714153632791
60v_core,days_to_plus5_60d,18,241,0.018568456737807226,0.6675398721010863
60v_core,days_to_plus5_60d,19,239,0.018414361661144928,0.6859542337622313
60v_core,days_to_plus5_60d,20,200,0.015409507666230064,0.7013637414284614
