rule,n,hit10,lift,avg_ret20,win20
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.58 & pturndown>=0.58,1089,0.7539026629935721,4.162340679268058,0.0358220686267687,0.657483930211203
cnt60>=40 & pdown>=0.60 & pturndown>=0.60,1471,0.7532290958531611,4.158621875705781,0.016730004559198066,0.6159075458871516
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.58 & pturndown>=0.55,1101,0.7511353315168029,4.147062080392923,0.0358920161721919,0.6566757493188011
cnt60>=50 & pdown>=0.60 & pturndown>=0.50,1008,0.7440476190476191,4.107930405467813,0.01615204815764513,0.6418650793650794
cnt60>=50 & pdown>=0.60 & pturndown>=0.58,995,0.7437185929648241,4.106113833228209,0.0151857933930742,0.6402010050251257
cnt60>=50 & pdown>=0.60 & pturndown>=0.62,963,0.7435098650051921,4.104961433959811,0.013564274087503892,0.6375908618899273
cnt60>=50 & pdown>=0.60 & pturndown>=0.55,1001,0.7432567432567433,4.103563933987875,0.01554886914726626,0.6413586413586414
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.58 & pturndown>=0.50,1125,0.7431111111111111,4.102759890397463,0.03599664046079494,0.656
cnt60>=50 & pdown>=0.60 & pturndown>=0.60,985,0.7421319796954314,4.097354048606628,0.014388926971360022,0.6395939086294417
cnt60>=60 & pdown>=0.58 & pturndown>=0.62,844,0.731042654028436,4.036129233262289,0.00938836003940406,0.6398104265402843
pdown>=0.58 & pturndown>=0.62,11306,0.7263399964620555,4.010165585897669,0.024611010601657886,0.6259508225720856
cnt60>=60 & pdown>=0.58 & pturndown>=0.60,887,0.7192784667418264,3.971178467460311,0.009323206714343706,0.6392333709131905
cnt60>=60 & pdown>=0.58 & pturndown>=0.58,905,0.7182320441988951,3.965401107421747,0.01011049406319212,0.6408839779005525
cnt60>=60 & pdown>=0.58 & pturndown>=0.55,921,0.7155266015200868,3.9504642002184793,0.010183470610982978,0.6384364820846905
cnt60>=40 & pdown>=0.58 & pturndown>=0.62,1687,0.7125074096028453,3.933795065126488,0.011238547515407418,0.5951393005334914
pdown>=0.58 & pturndown>=0.60,12019,0.7112072551792994,3.9266168365406293,0.024464990129539448,0.6250104001996838
pdown>=0.58 & pturndown>=0.58,12417,0.7074977852943545,3.906136636431882,0.025221047756776187,0.6263992912941935
cnt60>=60 & pdown>=0.58 & pturndown>=0.50,945,0.7058201058201058,3.8968740699691105,0.011213002743340549,0.6391534391534391
pdown>=0.58 & pturndown>=0.55,12801,0.7050230450746036,3.892473450993077,0.026325106761966973,0.6296383095070698
cnt60>=40 & pdown>=0.58 & pturndown>=0.60,1769,0.7043527416619559,3.888772666662595,0.01203411914431802,0.5969474279253816
cnt60>=50 & pdown>=0.58 & pturndown>=0.62,1163,0.70335339638865,3.8832552229820023,0.010123385423174433,0.6199484092863284
cnt60>=40 & pdown>=0.58 & pturndown>=0.58,1813,0.7032542746828461,3.8827079662491135,0.012747388136264052,0.5995587424158852
pdown>=0.58 & pturndown>=0.50,13174,0.7013056019432214,3.871949230124594,0.027640914658490116,0.6328374070138151
cnt60>=40 & pdown>=0.58 & pturndown>=0.55,1851,0.700162074554295,3.865635748554061,0.013279505052038077,0.6002160994057266
cnt60>=50 & pdown>=0.58 & pturndown>=0.60,1222,0.6947626841243862,3.83582539831545,0.010786034343370028,0.6211129296235679
cnt60>=50 & pdown>=0.58 & pturndown>=0.58,1248,0.6947115384615384,3.835543020120639,0.011445743368826405,0.6217948717948718
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.55 & pturndown>=0.62,1304,0.6932515337423313,3.827482248706795,0.020789681502185728,0.6180981595092024
cnt60>=50 & pdown>=0.58 & pturndown>=0.55,1268,0.693217665615142,3.8272952607964843,0.011895977419121937,0.6214511041009464
cnt60>=40 & pdown>=0.58 & pturndown>=0.50,1897,0.6931997891407485,3.8271965637362113,0.014265627315505354,0.6020031628887718
pdown>=0.55 & pturndown>=0.62,13125,0.6883809523809524,3.8005914842523327,0.01864244132507798,0.6121142857142857
cnt60>=50 & pdown>=0.58 & pturndown>=0.50,1299,0.6859122401847575,3.7869615798840086,0.012793933191846059,0.6227867590454196
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.55 & pturndown>=0.60,1466,0.6643929058663028,3.6681520769850424,0.018569511613213133,0.6077762619372442
cnt60>=40 & pdown>=0.55 & pturndown>=0.62,2072,0.6631274131274131,3.661165217586664,0.004520506293169528,0.5777027027027027
pdown>=0.52 & pturndown>=0.62,15049,0.660708352714466,3.6478094436165405,0.013162090985086385,0.5963851418698917
