cnt_60_above,n,rev5_drop3,rev10_drop5,down20_ge10,avg_ret5,avg_ret20
180,167,0.49700598802395207,0.4491017964071856,0.3652694610778443,-0.0022293025804541733,0.03838903020419843
181,162,0.5,0.4691358024691358,0.36419753086419754,0.0016632025620784072,0.04261284259545139
182,149,0.5033557046979866,0.4966442953020134,0.3422818791946309,0.00247748537442044,0.027651858404689755
183,144,0.5347222222222222,0.4861111111111111,0.3472222222222222,0.003162987884944945,0.029940818901383146
184,134,0.5223880597014925,0.5149253731343284,0.3880597014925373,0.003898938630969678,0.020816806095661104
185,129,0.5038759689922481,0.5116279069767442,0.3953488372093023,0.005909533973746826,0.01550265211540659
186,121,0.5537190082644629,0.5041322314049587,0.4049586776859504,-0.0004602145842088146,0.00891230443620511
187,117,0.49572649572649574,0.5042735042735043,0.39316239316239315,-0.000297629194317008,0.01871555576516664
188,112,0.5446428571428571,0.5178571428571429,0.3392857142857143,0.0009382551456795318,0.02471595726753441
189,109,0.5504587155963303,0.5229357798165137,0.4036697247706422,0.0014785703551284004,0.021392605841666502
190,106,0.5660377358490566,0.5283018867924528,0.42452830188679247,0.0016637603788177983,0.014762694996614749
191,103,0.5728155339805825,0.5242718446601942,0.36893203883495146,0.004631413359907452,0.0160778373582355
192,98,0.5816326530612245,0.47959183673469385,0.3673469387755102,0.007848815571955435,0.022284912330906674
193,96,0.5104166666666666,0.4375,0.34375,0.01133475639996663,0.02715253973431737
194,91,0.46153846153846156,0.5054945054945055,0.3626373626373626,0.008625686627201737,0.019507345228112136
195,86,0.47674418604651164,0.5348837209302325,0.36046511627906974,0.006115791420421988,0.021371326036468467
196,82,0.45121951219512196,0.47560975609756095,0.3780487804878049,0.00039931700540312033,0.007926124310326571
197,80,0.475,0.475,0.3625,0.0006422450901471186,0.010454828775229314
198,77,0.4935064935064935,0.45454545454545453,0.33766233766233766,0.0010796953047159793,0.010285877258199239
199,73,0.5342465753424658,0.5205479452054794,0.3561643835616438,0.0007299998254725854,0.01591509018189522
200,71,0.5774647887323944,0.5352112676056338,0.352112676056338,-0.005621049309054149,0.01393164321997732
201,68,0.5441176470588235,0.5735294117647058,0.38235294117647056,-0.005284171286682406,0.01751334253046189
202,65,0.5538461538461539,0.46153846153846156,0.3384615384615385,0.004788693226403724,0.02444406243437874
203,65,0.5230769230769231,0.46153846153846156,0.3384615384615385,0.0029849889140152034,0.018777198305642236
204,62,0.46774193548387094,0.3870967741935484,0.3548387096774194,0.00020213239918894538,0.02591139965128134
205,59,0.5084745762711864,0.423728813559322,0.288135593220339,0.009073360829135443,0.027741736302347383
206,58,0.46551724137931033,0.4827586206896552,0.3275862068965517,0.0135330177246426,0.028860169040038013
207,57,0.47368421052631576,0.45614035087719296,0.3684210526315789,0.009573014453792798,0.01863250624795788
208,57,0.42105263157894735,0.5087719298245614,0.3508771929824561,0.010926235854404772,0.02209135868257623
209,55,0.509090909090909,0.5636363636363636,0.34545454545454546,0.013333481628377237,0.023988292986243064
210,54,0.5740740740740741,0.5185185185185185,0.37037037037037035,0.015593745866885667,0.023113085675659704
211,53,0.5471698113207547,0.5283018867924528,0.3584905660377358,0.010875281025630165,0.018244019438033714
212,52,0.5192307692307693,0.5384615384615384,0.38461538461538464,0.00730009230066559,0.009132596472405663
