rule,n,hit10,lift,avg_ret20,win20
cnt60>=50 & pdown>=0.60 & pturndown>=0.62,34623,0.5674551598648298,2.394039661017176,0.010874884719320034,0.602547439563296
pdown>=0.62 & pturndown>=0.62,249126,0.5671547730867111,2.3927723576048106,0.029344557314992574,0.6285654648651686
cnt60>=60 & pdown>=0.60 & pturndown>=0.58,28235,0.5654329732601381,2.3855082469495645,0.012154582329689256,0.6021604391712414
cnt60>=60 & pdown>=0.60 & pturndown>=0.55,28713,0.5628460975864591,2.3745944630967872,0.01241820096656115,0.602584195312228
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.62 & pturndown>=0.62,20916,0.5626792885829031,2.3738907116842123,0.016136807445823683,0.6124976094855613
cnt60>=60 & pdown>=0.60 & pturndown>=0.50,28906,0.5619594547844738,2.370853800955987,0.012563916106000729,0.6031273783989484
pdown>=0.62 & pturndown>=0.60,257572,0.5607364154488842,2.3656939136495025,0.02896219420562147,0.6277273927290233
cnt60>=50 & pdown>=0.60 & pturndown>=0.60,36581,0.5593340805336103,2.359777595246486,0.010806785096777412,0.6008583690987125
cnt60>=40 & pdown>=0.60 & pturndown>=0.62,46849,0.5570022839334885,2.3499399658848175,0.009491468476179687,0.5981984674165938
pdown>=0.62 & pturndown>=0.58,262499,0.5568668833024126,2.3493687234257665,0.028743742124357066,0.6272709610322325
cnt60>=50 & pdown>=0.60 & pturndown>=0.58,37576,0.5550883542686821,2.341865277609826,0.01083826495910903,0.5997711305088355
pdown>=0.62 & pturndown>=0.55,266068,0.5540463340198746,2.337469092713345,0.02856911832221593,0.6269149240043899
pdown>=0.62 & pturndown>=0.50,267356,0.5530416373674053,2.3332303725405024,0.028553247010943063,0.6269019584374392
cnt60>=50 & pdown>=0.60 & pturndown>=0.55,38266,0.5521089217582188,2.3292953335827558,0.011064981599893147,0.5998275231275806
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.62 & pturndown>=0.60,21952,0.5520681486880467,2.3291233158551936,0.015774676957863838,0.6092383381924198
cnt60>=50 & pdown>=0.60 & pturndown>=0.50,38541,0.5512311564308139,2.3255921246677578,0.011227350343219079,0.6003476816896293
cnt60>=40 & pdown>=0.60 & pturndown>=0.60,49669,0.5480279449958727,2.3120780785188084,0.009465619307414005,0.5964887555618192
cnt60>=60 & pdown>=0.58 & pturndown>=0.62,35233,0.5475264666647744,2.3099623888596006,0.004934358205844892,0.5811597082280816
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.62 & pturndown>=0.58,22600,0.544070796460177,2.2953832430339247,0.015130526533190473,0.6054424778761062
cnt60>=40 & pdown>=0.60 & pturndown>=0.58,51168,0.5431715134459036,2.291589253032737,0.009561816888949127,0.5955870856785491
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.60 & pturndown>=0.62,30832,0.5412234042553191,2.2833703645704975,0.006493370131971642,0.5880578619615984
cnt60>=40 & pdown>=0.60 & pturndown>=0.55,52199,0.5397229831989119,2.2770402300130463,0.009784795868672473,0.5955286499741375
cnt60>=40 & pdown>=0.60 & pturndown>=0.50,52631,0.5384849233341567,2.2718169725143507,0.009924307134843855,0.5959035549391043
cnt60>=50 & pdown>=0.58 & pturndown>=0.62,46178,0.5379834553250465,2.269701326402635,0.0032034683297160332,0.5778509246827493
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.62 & pturndown>=0.55,23055,0.5371502927781392,2.266186292400926,0.01466166413570121,0.6028627195836044
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.62 & pturndown>=0.50,23206,0.5349047660087908,2.2567126272976314,0.01449187424811005,0.6019132982849263
cnt60>=60 & pdown>=0.55 & pturndown>=0.62,40903,0.5337750287264993,2.2519463725313873,0.0010609469206512112,0.5693469916632032
cnt60>=60 & pdown>=0.58 & pturndown>=0.60,39282,0.5335777200753525,2.2511139459896676,0.00406951446739148,0.5770327376406497
pdown>=0.60 & pturndown>=0.62,337865,0.5331152975300786,2.2491630289977453,0.0210894745475172,0.6046586654432984
cnt60>=60 & pdown>=0.52 & pturndown>=0.62,41747,0.5313435695978154,2.241688276385785,0.0002300584251118732,0.5668910340862816
cnt60>=40 & pdown>=0.58 & pturndown>=0.62,61659,0.5296874746590117,2.234701368438996,0.002676994633631255,0.5754066721808657
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.60 & pturndown>=0.60,33047,0.5296698641329016,2.234627071294586,0.006260802957600458,0.5848639816019608
cnt60>=60 & pdown>=0.58 & pturndown>=0.58,41259,0.5265760197775031,2.2215744345124966,0.003928708594243501,0.5754623233718704
cnt60>=50 & pdown>=0.55 & pturndown>=0.62,53338,0.5247665829239941,2.2139405915275483,-0.0008639120418257977,0.5661442123814167
cnt60>=50 & pdown>=0.58 & pturndown>=0.60,51772,0.5235262303948081,2.208707661494413,0.0026010410480182262,0.5739588967009194
cnt60>=50 & pdown>=0.52 & pturndown>=0.62,54337,0.5229033623497801,2.2060798401107244,-0.0014933521307649105,0.5641091705467729
pdown>=0.60 & pturndown>=0.60,359352,0.5227715443353592,2.2055237123725693,0.020535060047434318,0.6029575458046706
cnt60>=60 & pdown>=0.58 & pturndown>=0.55,42570,0.522175240779892,2.203007964058404,0.004323405262533651,0.5760629551327225
