cnt_60_above,n,rev5_drop3,rev10_drop5,down20_ge10,avg_ret20
72,1483,0.5111260957518543,0.4423465947403911,0.3122049898853675,0.01646518577705809
73,1403,0.5146115466856735,0.4518888096935139,0.32002851033499646,0.015903976227033302
74,1378,0.5391872278664731,0.44847605224963716,0.32220609579100146,0.018103556979416728
75,1338,0.515695067264574,0.45665171898355755,0.32286995515695066,0.015666095879507857
76,1331,0.5138993238166792,0.4492862509391435,0.32231404958677684,0.016915660476259295
77,1291,0.5135553834237025,0.4539116963594113,0.3222308288148722,0.017122664948380186
78,1207,0.49627174813587405,0.4407622203811102,0.32145816072908034,0.02035170561698855
79,1204,0.4950166112956811,0.4642857142857143,0.3338870431893688,0.018104986067140755
80,1135,0.5277533039647577,0.47577092511013214,0.32863436123348017,0.01786563281940151
81,1090,0.5220183486238532,0.4651376146788991,0.326605504587156,0.023942846492102935
82,1050,0.5142857142857142,0.4561904761904762,0.3161904761904762,0.02207295928143866
83,1034,0.528046421663443,0.46518375241779497,0.32011605415860733,0.021368642258270353
84,1037,0.5120540019286403,0.4869816779170685,0.3317261330761813,0.01710148990930376
85,957,0.5318704284221526,0.46917450365726227,0.3239289446185998,0.018263085041924046
86,906,0.5551876379690949,0.49448123620309054,0.33002207505518766,0.013732099920497233
87,879,0.540386803185438,0.47554038680318544,0.3310580204778157,0.016891740000948317
88,864,0.5092592592592593,0.47337962962962965,0.3287037037037037,0.014254790982536361
89,837,0.5149342891278376,0.4647550776583035,0.3058542413381123,0.015661767416481447
90,806,0.5024813895781638,0.46774193548387094,0.31389578163771714,0.016272117238426802
91,765,0.538562091503268,0.4823529411764706,0.33725490196078434,0.01237232753807449
92,743,0.5181695827725438,0.5100942126514132,0.3364737550471063,0.01118178633279378
93,750,0.5333333333333333,0.5013333333333333,0.3293333333333333,0.01252992323753245
94,722,0.5235457063711911,0.47506925207756234,0.3171745152354571,0.014888241625640009
95,680,0.5441176470588235,0.47352941176470587,0.3058823529411765,0.016039785420430615
96,643,0.5225505443234837,0.4618973561430793,0.30637636080870917,0.021374833585773242
97,614,0.5602605863192183,0.495114006514658,0.31433224755700323,0.020483131422545885
98,611,0.5433715220949263,0.48936170212765956,0.32242225859247137,0.018881322918018247
99,590,0.5186440677966102,0.4542372881355932,0.3152542372881356,0.017368533934667047
100,572,0.534965034965035,0.4825174825174825,0.32867132867132864,0.01602908290675595
101,543,0.5395948434622467,0.5027624309392266,0.3296500920810313,0.015388386465011485
102,548,0.5711678832116789,0.5109489051094891,0.3284671532846715,0.008955461135996146
103,533,0.5572232645403377,0.4915572232645403,0.3433395872420263,0.008680457462529899
104,530,0.5830188679245283,0.5056603773584906,0.36792452830188677,0.002504709104304623
105,513,0.5886939571150097,0.5224171539961013,0.3664717348927875,0.008850489237158988
106,480,0.5666666666666667,0.5104166666666666,0.36666666666666664,0.01485029364586914
107,474,0.5611814345991561,0.4873417721518987,0.37130801687763715,0.00944639707736216
108,471,0.5286624203821656,0.505307855626327,0.38004246284501064,0.015170727822453121
109,464,0.5323275862068966,0.49137931034482757,0.38362068965517243,0.014155659935485655
110,460,0.558695652173913,0.5065217391304347,0.3869565217391304,0.014900849809256735
111,422,0.556872037914692,0.5071090047393365,0.3933649289099526,0.014841802672092896
112,413,0.5302663438256658,0.5060532687651331,0.3946731234866828,0.018134911456629925
113,408,0.5098039215686274,0.47549019607843135,0.3872549019607843,0.020737874955065374
114,366,0.5437158469945356,0.49453551912568305,0.41530054644808745,0.027289864205884643
115,374,0.5668449197860963,0.5401069518716578,0.44385026737967914,0.014603348011279684
116,371,0.5390835579514824,0.49865229110512127,0.39622641509433965,0.01856843076231381
117,353,0.5637393767705382,0.5212464589235127,0.37677053824362605,0.017351224692560886
118,349,0.5730659025787965,0.5214899713467048,0.3954154727793696,0.021832952821986256
119,346,0.5606936416184971,0.5173410404624278,0.3988439306358382,0.011490219134252293
120,329,0.547112462006079,0.49848024316109424,0.39209726443769,0.011603127462164398
121,339,0.5663716814159292,0.504424778761062,0.40117994100294985,0.010324976118567118
